Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,NO2 ESKDALE GARDENS CSO,6NW801241,235/1442,235/1442,,SO on sewer network,NZ2580559497,GB103023075670,Team from Source to Tyne,TEAM,,,Not Applicable,Commissioned pre-2016 - full year data expected,56.50,44,38.1,10 (installed pre-2013),99.18%,,,N/A - Ongoing investigation,N/A - Ongoing investigation,,,NZ2580559497,54.929493,-1.598845
Northumbrian Water,NORHAM SEWAGE TREATMENT WORKS,6NW800686,210/1328,210/1328,210/1328-04,Storm tank at WwTW,NT9025047620,437,River Tweed,RIVER TWEED,,,Not Applicable,Commissioned in 2020 - full year data expected,541.74,56,100.5,2 (installed 2020),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NT9025047620,55.721898,-2.156779
Northumbrian Water,NORTH BLYTH PUMPING STATION,6NW800576,226/1156,226/1156,226/1156-01,Storm discharge at pumping station,NZ3052283146,GB510302203200,BLYTH (N),BLYTH SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,1059.94,65,34.0,3 (installed 2019),99.99%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3052283146,55.141733,-1.522721
Northumbrian Water,NORTH CAMBOIS PUMPING STATION,6NW800577,226/1155,226/1155,226/1155-01,Storm discharge at pumping station,NZ3091084260,GB650301500002,Tyne and Wear,NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,0.04,1,4.0,2 (installed 2020),14.50%,Comms failure / issue,Resolved - Jan,,,,,NZ3091084260,55.151719,-1.516514
Northumbrian Water,NORTH GOSFORTH CSO,6NW801189,226/1253,226/1253,,SO on sewer network,NZ2487072379,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,36.75,21,22.8,10 (installed pre-2013),99.98%,,,,,,,NZ2487072379,55.045298,-1.612322
Northumbrian Water,NORTH GROYNE PUMPING STATION,6NW800601,235/1481,235/1481,A,Storm discharge at pumping station,NZ3649068480,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,6.45,13,12.0,3 (installed 2019),100%,,,,,,,NZ3649068480,55.009548,-1.430975
Northumbrian Water,NORTH HYLTON SEWAGE PUMPING STATION,6NW800596,245/0938,245/0938,245/0938-01,Storm discharge at pumping station,NZ3529657328,GB510302402900,WEAR,WEAR (TIDAL),,,Not Applicable,Commissioned in 2020 - full year data expected,47.67,20,25.3,3 (installed 2019),100%,,,,,,,NZ3529657328,54.909424,-1.451011
Northumbrian Water,NORTH PARADE HIGH LEVEL CSO (A52),6NW800384,235/1795,235/1795,,SO on sewer network,NZ3575072427,GB650301500002,Tyne and Wear,NORTH SEA,,Whitley Bay,Not Applicable,Commissioned in 2019 - full year data expected,2.07,8,4.5,4 (installed 2018),100%,,,,,,,NZ3575072427,55.045068,-1.442053
Northumbrian Water,NORTH POINT CSO,6NW800393,235/1987,235/1987,,SO on sewer network,NZ3655070980,GB650301500002,Tyne and Wear,NORTH SEA,,Cullercoats,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.0,4 (installed 2018),100%,,,,,,,NZ3655070980,55.032008,-1.429718
Northumbrian Water,NORTH ROAD NO1,6NW801451,235/1505,235/1505,,SO on sewer network,NZ3543062360,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.1,10 (installed pre-2013),99.99%,,,,,,,NZ3543062360,54.954631,-1.448302
Northumbrian Water,NORTH SEATON LEVEL CROSSING CSO,6NW800337,225/1020,225/1020,,SO on sewer network,NZ2773285873,GB103022077062,Wansbeck from Bothal Burn to North Sea,RIVER WANSBECK(SALINE ESTUARY),,,Not Applicable,Commissioned in 2019 - full year data expected,150.25,38,44.7,3 (installed 2019),99.99%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2773285873,55.1664,-1.566223
Northumbrian Water,STOCKTON EAST CSO NORTH TEES SEWAGE PUMPING STATION ,6NW800639,254/0057,254/0057,254/0057-01,SO on sewer network,NZ4660020100,GB103025072550,Lustrum Beck Catchment (trib of Tees),LUSTRUM BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,17.7,3 (installed 2019),100%,,,,,,,NZ4660020100,54.573976,-1.280664
Northumbrian Water,ACKLAM ROAD CSO Northallerton Road,6NW800424M2,25/04/1673,EPRXB3293AR,,SO on sewer network,NZ4614917663,GB510302509900,Tees,OLD RIVER TEES,,,Not Applicable,Mar 2022,,,N/A,<1 yr (installed 2022),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ4614917663,54.552118,-1.288021
Northumbrian Water,NORTHSIDE PLACE CSO,6NW801398,226/1264,226/1264,,SO on sewer network,NZ3112074340,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,2,2.2,10 (installed pre-2013),99.88%,,,,,,,NZ3112074340,55.062568,-1.514301
Northumbrian Water,NORTON SEWAGE PUMPING STATION,6NW800633,254/B/0252,254/B/0252,A1,Storm discharge at pumping station,NZ4550021400,10,Billingham Beck,BILLINGHAM BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,458.02,30,23.0,3 (installed 2019),100%,,,,,,,NZ4550021400,54.585758,-1.297477
Northumbrian Water,NUNTHORPE NO 1 SPS,6NW800668,25/04/1621,25/04/1621,A1,Storm discharge at pumping station,NZ5318013830,GB103025072210,Marton West Beck Catchment (trib of Tidal Tees),UNNAMED TRIB MARTON WEST BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,84.70,12,23.7,3 (installed 2019),100%,,,,,,,NZ5318013830,54.516987,-1.18002
Northumbrian Water,OAK ROAD CSO,6NW801612,256/1064,256/1064,,SO on sewer network,NZ6176024160,GB650301500005,Tees Coastal,NORTH SEA,,Redcar Stray,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.1,9 (installed 2013),99.94%,,,,,,,NZ6176024160,54.608837,-1.045335
Northumbrian Water,OAKENSHAW CSO,6NW801110,243/1005,243/1005,,SO on sewer network,NZ2025036950,GB103024077464,Wear from Gaunless to Browney,PARK HOUSE GILL,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,1,4.1,9 (installed 2013),87.12%,Comms failure / issue,Resolved - Aug,,,,,NZ2025036950,54.727134,-1.687098
Northumbrian Water,OAKFIELD ROAD CSO,6NW801577,254/1207,254/1207,,SO on sewer network,NZ5091219502,GB103025072210,Marton West Beck Catchment (trib of Tidal Tees),ORMESBY BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.25,1,6.3,10 (installed pre-2013),98.30%,,,,,,,NZ5091219502,54.568188,-1.214072
Northumbrian Water,OAKLEY GREEN CSO,6NW801637,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ1868726495,GB103024072690,Gaunless from Source to Hummer Beck,River Gaunless,,,Not Applicable,Commissioned pre-2016 - full year data expected,22.75,27,17.3,10 (installed pre-2013),99.44%,,,,,,,NZ1868726495,54.633241,-1.712032
Northumbrian Water,OAKS FIELD CSO,6NW801089,235/1710,235/1710,,SO on sewer network,NZ1929053510,GB103023075670,Team from Source to Tyne,HOUGHWELL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,74.75,16,12.7,10 (installed pre-2013),97.79%,,,,,,,NZ1929053510,54.875986,-1.700908
Northumbrian Water,OGLE SEWAGE TREATMENT WORKS,6NW800729,226/0141,Permit Anomaly - STW permit 226/0141,To be permitted for settled storm,Storm tank at WwTW,NZ1401878610,GB103022076900,Ogle Burn Catchment (trib of Blyth),Ogle Burn,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ1401878610,55.101711,-1.781849
Northumbrian Water,OLD CLEATLAM STW ,6NW800721,252/0060,Permit Anomaly - STW permit 252/0060,To be permitted for settled storm,Storm tank at WwTW,NZ1213119704,GB103025072270,Sudburn Beck from Source to Langley Beck,Sudburn Beck,,,Not Applicable,Commissioned in 2021 - full year data expected,2.50,11,11.0,1 (installed 2021),63.88%,Comms failure / issue,Resolved - January after reporting year,,,,,NZ1213119704,54.572411,-1.81387
Northumbrian Water,OLD DERWENT BRIDGE CSO,6NW800206,234/0904,234/0904,,SO on sewer network,NZ1983062380,GB510302310200,TYNE,DERWENT (TIDAL),,,Not Applicable,Commissioned pre-2016 - full year data expected,31.75,19,11.0,10 (installed pre-2013),99.77%,,,,,,,NZ1983062380,54.955672,-1.691885
Northumbrian Water,OLD RIVER TEES PUMPING STATION,6NW800638,254/1937,254/1937,,Storm discharge at pumping station,NZ4686018560,GB510302509900,TEES,OLD RIVER TEES,,,Not Applicable,Commissioned in 2018 - full year data expected,36.88,24,38.3,4 (installed 2018),100%,,,,,,,NZ4686018560,54.560113,-1.276887
Northumbrian Water,OLD SCHOOL COMBINED SEWER OVERFLOW,6NW800903,25/01/0916,25/01/0916,,SO on sewer network,NY9741023950,GB103025072511,Tees from Maize Beck to Percy Beck,HEUGH SIKE,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.25,1,1.9,10 (installed pre-2013),93.95%,,,,,,,NY9741023950,54.610704,-2.041616
Northumbrian Water,OLD TYNE BRIDGE CSO,6NW800874,232/1166,232/1166,,SO on sewer network,NY7056663780,GB103023075532,South Tyne from Tipalt Burn to Allen,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,40.25,43,49.5,10 (installed pre-2013),99.69%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NY7056663780,54.967766,-2.461284
Northumbrian Water,OLIVER STREET CSO,6NW801086,245/1265,245/1265,,SO on sewer network,NZ1906251851,GB103024077590,Twizell Burn from Source to Cong Burn,TRIP OF STANLEY BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.25,4,4.5,10 (installed pre-2013),88.84%,Comms failure / issue,Resolved - Feb,,,,,NZ1906251851,54.861086,-1.70457
Northumbrian Water,OPP OLD CASTLESIDE STW CSO,6NW800936,234/1135,234/1135,,SO on sewer network,NZ0724049100,GB103023074790,Derwent from Burnhope Burn to River Tyne,WHARNLEY BURN (DERWENT),,,Not Applicable,Commissioned pre-2016 - full year data expected,5.50,12,9.4,10 (installed pre-2013),99.67%,,,,,,,NZ0724049100,54.836673,-1.888806
Northumbrian Water,OPPOSITE 16 FRONT STREET CSO,6NW801138,EPRBB3899DP,EPRBB3899DP,,SO on sewer network,NZ2150145218,GB103024077551,Browney from Smallhope Burn Deerness confl,RIVER BROWNEY,,,Not Applicable,Commissioned pre-2016 - full year data expected,27.75,25,27.6,10 (installed pre-2013),99.99%,,,,,,,NZ2150145218,54.801382,-1.667065
Northumbrian Water,OSMAN TERRACE CSO,6NW801658,245/1378,245/1378,,SO on sewer network,NZ3249350763,GB103024077580,Lumley Park Burn from Source to Herrington Burn,MOORS BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,21.00,8,10.3,10 (installed pre-2013),99.77%,,,,,,,NZ3249350763,54.850621,-1.495465
Northumbrian Water,OTTERBURN CRESCENT CSO,6NW801429,245/1367,245/1367,,SO on sewer network,NZ3291950302,GB103024077580,Lumley Park Burn from Source to Herrington Burn,MOORS BURN TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.50,3,3.5,10 (installed pre-2013),92.18%,,,,,,,NZ3291950302,54.84645,-1.488883
Northumbrian Water,OTTERBURN STW,6NW800806,231/1087,231/1087,231/1087-02,Storm tank at WwTW,NY8913092600,GB103023075320,Rede from Bellshiel Burn to N Tyne,RIVER REDE,,,Not Applicable,Commissioned in 2020 - full year data expected,,,34.7,3 (installed 2019),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NY8913092600,55.227497,-2.172434
Northumbrian Water,OUSE BURN CSO NO 8,6NW801248,235/F/0346C,235/F/0346,,SO on sewer network,NZ2609565199,GB103023075780,Ouse Burn from Source to Tyne,OUSE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.90,17,4.1,10 (installed pre-2013),99.64%,,,,,,,NZ2609565199,54.980716,-1.593804
Northumbrian Water,OUSEBURN EAST PS,6NW800539,235/1825,235/1825,235/1825-01,Storm discharge at pumping station,NZ2647064090,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,182.93,61,41.7,3 (installed 2019),99.90%,,,Performance - Infiltration,N/A - Ongoing investigation,,,NZ2647064090,54.970731,-1.588046
Northumbrian Water,OUSEBURN WEST PS,6NW800538,235/1824,235/1824,235/1824-01,Storm discharge at pumping station,NZ2641064080,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,495.24,49,40.3,3 (installed 2019),99.98%,,,Performance - Infiltration,N/A - Ongoing investigation,,,NZ2641064080,54.970644,-1.588985
Northumbrian Water,OUSTON VILLA FARM CSO,6NW801236,235/1878,235/1878,,SO on sewer network,NZ2648053780,GB103023075670,Team from Source to Tyne,ROWLETCH BURN 9RIVER TEAM),,,Not Applicable,Commissioned pre-2016 - full year data expected,36.50,8,13.8,10 (installed pre-2013),93.74%,,,,,,,NZ2648053780,54.878085,-1.588835
Northumbrian Water,OUTLET LANE CSO NO.2,6NW800899,233/1050,233/1050,,SO on sewer network,NY9412064400,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,7 (installed 2015),99.99%,,,,,,,NY9412064400,54.974178,-2.09339
Northumbrian Water,OUTLET ROAD NO 2 CSO,6NW800900,233/1240,233/1240,,SO on sewer network,NY9437064150,GB103023075801,Tyne from Watersmeet to Tidal Limit,TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.9,9 (installed 2013),99.80%,,,,,,,NY9437064150,54.971934,-2.08948
Northumbrian Water,OVINGHAM PUMPING STATION CSO,6NW800500,233/G/0328,233/G/0328,A1,Storm discharge at pumping station,NZ0840263635,GB103023075770,Whittle Burn Catchment (trib of Tyne),"WHITTLE BURN, TRIB OF TYNE",,,Not Applicable,Commissioned pre-2016 - full year data expected,15.50,18,17.0,10 (installed pre-2013),97.63%,,,,,,,NZ0840263635,54.96727,-1.870296
Northumbrian Water,OVINGTON CSO TD034,6NW800933,233/1248,233/1248,,SO on sewer network,NZ0685463561,GB103023075801,Tyne from Watersmeet to Tidal Limit,TRIB COCKERMERE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,104.17,48,26.5,10 (installed pre-2013),99.74%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ0685463561,54.966629,-1.894477
Northumbrian Water,OVINGTON STW,6NW800151,252/0366,252/0366,A2,Inlet SO at WwTW,NZ1330315050,GB103025072190,Tees from River Greta to River Skerne,TEES,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,2.5,2 (installed 2020),100%,,,,,,,NZ1330315050,54.530557,-1.79595
Northumbrian Water,OWEN BRANNIGAN DRIVE CSO,6NW801255,226/1260,226/1260,,SO on sewer network,NZ2686273529,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,3,2.5,10 (installed pre-2013),99.99%,,,,,,,NZ2686273529,55.055528,-1.58104
Northumbrian Water,OWTON MANOR LANE CSO,6NW801578,Not on public register ,QR.25/05/5014,,SO on sewer network,NZ5009029567,368,North Sea,Culverted Watercourse into Stream,,Seaton Carew (Centre),Not Applicable,Commissioned pre-2016 - full year data expected,1.90,4,1.8,10 (installed pre-2013),99.96%,,,,,,,NZ5009029567,54.658713,-1.225069
Northumbrian Water,OXBRIDGE LANE CSO,6NW801538,254/1835,254/1835,,SO on sewer network,NZ4305018748,GB103025072550,Lustrum Beck Catchment (trib of Tees),THE LUSTRUM BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,36.00,11,18.4,10 (installed pre-2013),99.94%,,,,,,,NZ4305018748,54.56214,-1.335772
Northumbrian Water,PALACE STREET NORTH CSO 1,6NW800834,210/1361,210/1361,,SO on sewer network,NT9993852464,GB510202110000,TWEED,Tweed Estuary,,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,6.90,31,23.5,10 (installed pre-2013),99.89%,,,,,,,NT9993852464,55.765522,-2.002556
Northumbrian Water,PALACE STREET NORTH CSO 2,6NW800833,210/1357,210/1357,,SO on sewer network,NT9993852464,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,0.83,8,11.6,10 (installed pre-2013),92.06%,,,,,,,NT9993852464,55.765522,-2.002556
Northumbrian Water,PALLION CSO 4,6NW000025,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3899757745,GB510302402900,WEAR,River Wear,,,Not Applicable,Commissioned pre-2016 - full year data expected,30.75,41,38.0,7 (installed 2015),99.99%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ3899757745,54.912897,-1.393233
Northumbrian Water,PALLION PUMPING STATION,6NW800604,245/1210,245/1210,245/1210-01,Storm discharge at pumping station,NZ3770057990,GB510302402900,WEAR,RIVER WEAR (SALINE ESTUARY),,,Not Applicable,Commissioned pre-2016 - full year data expected,37.75,40,69.9,10 (installed pre-2013),99.99%,,,Performance - Asset configuration (e.g. PS/rising main/storm tanks),N/A - Hydraulic capacity,,,NZ3770057990,54.915198,-1.413431
Northumbrian Water,PALM TERRACE CSO,6NW800255,235/1717,235/1717,,SO on sewer network,NZ1851054810,GB103023075670,Team from Source to Tyne,FARLIETH BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,136.50,18,13.3,10 (installed pre-2013),99.88%,,,,,,,NZ1851054810,54.887697,-1.71298
Northumbrian Water,PARADISE FARM (WILLOW FARM) CSO,6NW801382,243/0988,243/0988,A1,Storm discharge at pumping station,NZ3141736206,GB103024077410,Croxdale Beck from Source to Wear,COXHOE BECK TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,58.00,23,21.7,10 (installed pre-2013),99.97%,,,,,,,NZ3141736206,54.719878,-1.513793
Northumbrian Water,PARADISE FARM CSO,6NW801546,255/1217,255/1217,,SO on sewer network,NZ4341043110,367,Horden Burn,HORDEN BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,94.75,44,44.3,10 (installed pre-2013),99.98%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ4341043110,54.781027,-1.326594
Northumbrian Water,PARK HEAD STORAGE TANK CSO,6NW800286,242/1044,242/1044,,SO on sewer network,NZ2300030510,GB103024072730,Gaunless from Hummer Beck to Wear,COUNDON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,193.25,29,19.5,10 (installed pre-2013),98.60%,,,,,,,NZ2300030510,54.669144,-1.644905
Northumbrian Water,PARK HILL CSO,6NW801381,243/1013,243/1013,,SO on sewer network,NZ3140036250,GB103024077410,Croxdale Beck from Source to Wear,COXHOE BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,34.75,17,17.5,10 (installed pre-2013),99.23%,,,,,,,NZ3140036250,54.720274,-1.514052
Northumbrian Water,PARK LANE CSO,6NW800438,256/1080,256/1080,,SO on sewer network,NZ6041515706,GB103025071970,Skelton Beck Catch (Saltburn) trib of North Sea,CHAPEL BECK,,,Not Applicable,Commissioned in 2019 - full year data expected,4.65,7,21.3,4 (installed 2018),100%,,,,,,,NZ6041515706,54.533035,-1.06789
Northumbrian Water,PARK ROAD & GREEN LANE CSO,6NW801260,225/G/0361,225/G/0361,,SO on sewer network,NZ2708086616,GB103022077062,Wansbeck from Bothal Burn to North Sea,"WANSBECK, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,16.00,9,6.7,10 (installed pre-2013),99.99%,,,,,,,NZ2708086616,55.173113,-1.576386
Northumbrian Water,PARK ROAD CSO,6NW801311,NPSWQD009544,NPSWQD009544,,SO on sewer network,NZ2836950977,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,82.25,28,26.4,10 (installed pre-2013),99.90%,,,,,,,NZ2836950977,54.852793,-1.559671
Northumbrian Water,PARK ROAD CSO WV41,6NW800247,241/1034,241/1034,,SO on sewer network,NZ1715129940,GB103024077462,Wear from Houselop Beck to Beechburn Beck,RIVER WEAR TRIBUTARY,,,Not Applicable,Commissioned in 2018 - full year data expected,0.00,0,0.0,4 (installed 2018),70.23%,Comms failure / issue,Resolved - Oct,,,,,NZ1715129940,54.664254,-1.735625
Northumbrian Water,PARK ROAD NORTH CSO,6NW801668,245/1264,245/1264,,SO on sewer network,NZ2824052410,GB103024077624,Wear DS of Lumley Park Burn to Tidal Limit,TRIBUTARY OF RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,16.75,7,12.2,10 (installed pre-2013),56.40%,Comms failure / issue,Resolved - Nov,,,,,NZ2824052410,54.865678,-1.56154
Northumbrian Water,PARKGATE FARM CSO,6NW801066,234/1131,234/1131,,SO on sewer network,NZ1822861510,GB103023074790,Derwent from Burnhope Burn to River Tyne,DERWENT TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,2,2.1,10 (installed pre-2013),31.93%,Comms failure / issue,Resolved - Sep,,,,,NZ1822861510,54.947915,-1.716955
